Category: All categories

Week,diet: (United States)
2015-01-04,76
2015-01-11,65
2015-01-18,59
2015-01-25,56
2015-02-01,54
2015-02-08,52
2015-02-15,52
2015-02-22,54
2015-03-01,58
2015-03-08,57
2015-03-15,58
2015-03-22,57
2015-03-29,53
2015-04-05,58
2015-04-12,58
2015-04-19,60
2015-04-26,57
2015-05-03,55
2015-05-10,56
2015-05-17,54
2015-05-24,55
2015-05-31,57
2015-06-07,57
2015-06-14,54
2015-06-21,54
2015-06-28,52
2015-07-05,54
2015-07-12,54
2015-07-19,56
2015-07-26,55
2015-08-02,53
2015-08-09,53
2015-08-16,51
2015-08-23,48
2015-08-30,48
2015-09-06,48
2015-09-13,49
2015-09-20,48
2015-09-27,46
2015-10-04,46
2015-10-11,48
2015-10-18,47
2015-10-25,47
2015-11-01,48
2015-11-08,46
2015-11-15,41
2015-11-22,35
2015-11-29,42
2015-12-06,42
2015-12-13,38
2015-12-20,36
2015-12-27,56
2016-01-03,74
2016-01-10,61
2016-01-17,60
2016-01-24,63
2016-01-31,58
2016-02-07,53
2016-02-14,54
2016-02-21,58
2016-02-28,57
2016-03-06,59
2016-03-13,56
2016-03-20,54
2016-03-27,58
2016-04-03,59
2016-04-10,57
2016-04-17,56
2016-04-24,56
2016-05-01,54
2016-05-08,54
2016-05-15,57
2016-05-22,53
2016-05-29,54
2016-06-05,55
2016-06-12,52
2016-06-19,51
2016-06-26,51
2016-07-03,52
2016-07-10,51
2016-07-17,52
2016-07-24,51
2016-07-31,53
2016-08-07,53
2016-08-14,51
2016-08-21,49
2016-08-28,49
2016-09-04,48
2016-09-11,49
2016-09-18,48
2016-09-25,46
2016-10-02,44
2016-10-09,44
2016-10-16,46
2016-10-23,43
2016-10-30,44
2016-11-06,38
2016-11-13,44
2016-11-20,35
2016-11-27,45
2016-12-04,42
2016-12-11,39
2016-12-18,36
2016-12-25,49
2017-01-01,72
2017-01-08,65
2017-01-15,63
2017-01-22,62
2017-01-29,67
2017-02-05,74
2017-02-12,63
2017-02-19,67
2017-02-26,64
2017-03-05,63
2017-03-12,61
2017-03-19,62
2017-03-26,62
2017-04-02,60
2017-04-09,59
2017-04-16,63
2017-04-23,62
2017-04-30,60
2017-05-07,60
2017-05-14,59
2017-05-21,58
2017-05-28,59
2017-06-04,60
2017-06-11,58
2017-06-18,60
2017-06-25,61
2017-07-02,61
2017-07-09,63
2017-07-16,64
2017-07-23,63
2017-07-30,61
2017-08-06,60
2017-08-13,55
2017-08-20,52
2017-08-27,51
2017-09-03,51
2017-09-10,50
2017-09-17,53
2017-09-24,53
2017-10-01,51
2017-10-08,54
2017-10-15,52
2017-10-22,53
2017-10-29,50
2017-11-05,52
2017-11-12,52
2017-11-19,42
2017-11-26,50
2017-12-03,47
2017-12-10,46
2017-12-17,43
2017-12-24,53
2017-12-31,81
2018-01-07,78
2018-01-14,72
2018-01-21,73
2018-01-28,73
2018-02-04,70
2018-02-11,65
2018-02-18,69
2018-02-25,70
2018-03-04,69
2018-03-11,67
2018-03-18,74
2018-03-25,78
2018-04-01,77
2018-04-08,75
2018-04-15,71
2018-04-22,73
2018-04-29,75
2018-05-06,74
2018-05-13,71
2018-05-20,69
2018-05-27,68
2018-06-03,69
2018-06-10,69
2018-06-17,68
2018-06-24,69
2018-07-01,69
2018-07-08,74
2018-07-15,72
2018-07-22,73
2018-07-29,72
2018-08-05,71
2018-08-12,69
2018-08-19,65
2018-08-26,65
2018-09-02,61
2018-09-09,58
2018-09-16,60
2018-09-23,57
2018-09-30,58
2018-10-07,55
2018-10-14,58
2018-10-21,53
2018-10-28,53
2018-11-04,54
2018-11-11,51
2018-11-18,42
2018-11-25,53
2018-12-02,52
2018-12-09,49
2018-12-16,46
2018-12-23,59
2018-12-30,100
